Symbol	Length	LTL_S1	LTL_S2	LTL_S3
RP11-315I20.1	3191	20	16	20
LIX1L	3985	46	80	223
RNF115	9126	500	681	626
RP4-565E6.1	2515	10	13	14
NBPF12	13138	160	187	217
RP11-337C18.10	576	0	1	1
RP11-337C18.8	3622	72	97	79
FMO5	3602	343	327	208
BCL9	6288	643	955	1011
GPR89B	3607	127	115	113
NBPF24	3865	30	24	30
RP11-403I13.8	1988	21	29	44
RP5-998N21.7	498	0	0	1
PPIAL4C	786	0	0	0
RP11-353N4.5	556	0	2	0
VPS45	4454	571	778	781
RPRD2	8751	914	1150	1136
TARS2	2763	313	547	470
ENSA	5484	1789	2528	1850
CTSS	4115	5	10	19
ZNF687	4577	698	851	726
POGZ	6672	1117	1443	1698
TUFT1	3264	320	343	293
RP11-74C1.4	528	9	7	12
SNX27	7463	768	720	839
RORC	6323	0	1	1
FLG-AS1	6584	0	1	0
CHTOP	5562	941	1205	1115
SLC27A3	3361	632	758	804
GATAD2B	7489	333	426	693
NUP210L	5929	54	96	115
IL6R	5924	544	326	865
KCNN3	13563	48	29	102
PBXIP1	3563	2469	3144	2359
EFNA3	2099	139	189	162
ASH1L	12133	1738	2050	2308
MSTO1	3963	146	249	203
SYT11	5244	651	735	835
LMNA	4970	974	1097	1446
IQGAP3	6370	102	72	293
RP11-284F21.7	760	0	0	1
PRCC	2233	325	382	378
LRRC71	2187	6	11	18
RP11-71G12.1	473	0	0	0
FCRL4	3697	0	0	0
CD5L	2464	0	0	0
SPTA1	8292	0	0	2
IFI16	2914	75	230	305
FCRL6	2016	1	1	4
IGSF9	5678	37	37	65
KCNJ10	5295	28	15	46
RP11-536C5.2	650	1	1	0
CASQ1	2085	0	0	5
COPA	4849	2699	3274	3201
CD244	2800	0	0	1
PFDN2	681	141	183	157
FCGR2B	2485	0	0	0
ATF6	7907	1043	1232	1165
NOS1AP	7394	60	61	85
DDR2	10179	150	147	552
RGS5	6381	230	157	240
NUF2	2145	18	23	63
LMX1A	4198	3	1	0
RXRG	2269	1	2	7
RP11-280O1.2	4054	1	3	8
UCK2	2387	97	99	117
FAM78B	1601	1	1	1
FMO9P	1612	0	0	0
MAEL	2838	30	31	25
POU2F1	14850	766	938	893
CREG1	2694	860	1100	829
RCSD1	4693	1	0	14
MPC2	2285	4566	4900	3074
DCAF6	3774	1627	1699	1433
TIPRL	1826	467	626	488
DPT	1790	3	1	1
LINC00970	1134	3	3	4
ATP1B1	2983	7577	10548	9402
NME7	1821	216	273	263
BLZF1	3808	453	599	494
C1orf112	6070	77	82	150
KIFAP3	4812	766	1003	869
METTL11B	1210	0	1	0
PRRX1	7806	62	36	552
FMO2	5313	94	26	177
RP1-127D3.4	800	3	0	4
FMO4	2501	321	343	334
VAMP4	5167	235	377	321
RP11-296O14.3	2286	17	18	22
SLC9C2	4684	6	10	5
RP3-436N22.3	680	2	1	0
DARS2	3523	375	484	421
RC3H1	11284	961	1201	1272
RABGAP1L	11595	666	898	1087
MRPS14	2507	490	701	512
TNR	12984	0	0	2
PAPPA2	10733	92	139	139
ASTN1	8039	9	99	31
RP1-35C21.2	801	0	1	0
RP11-568K15.1	2931	379	406	293
RALGPS2	5854	1083	1468	1208
FAM20B	5992	1355	1762	1504
ABL2	12663	574	648	753
AXDND1	3888	13	25	19
TDRD5	4051	12	17	39
RP11-12M5.1	546	0	0	0
TOR1AIP2	14741	2036	2418	2516
CEP350	13980	1464	1898	1935
RP11-502H18.2	509	0	0	0
LHX4	7089	60	69	83
XPR1	8489	1717	2233	1732
MR1	7899	23	43	56
CACNA1E	16528	13	35	163
RP11-538D16.3	1148	0	0	0
GS1-122H1.2	2648	2	0	0
DHX9	4871	4001	5221	4112
LAMC1	8126	7386	10569	8872
RP11-181K3.4	482	14	26	19
NMNAT2	7122	54	76	57
RGL1	5436	402	284	451
TSEN15	1965	223	322	301
EDEM3	6967	1200	1574	1360
FAM129A	7121	95	190	223
SWT1	3928	325	351	326
HMCN1	18527	189	167	557
C1orf27	4084	651	908	795
PLA2G4A	2893	86	88	81
LINC01036	862	0	0	0
LINC01037	427	0	0	0
RP11-669M2.1	750	0	0	0
LINC01035	786	0	0	0
BRINP3	3055	12	15	29
RP11-547I7.1	607	1	0	0
RP11-463J7.2	2221	0	0	1
RGS18	2569	0	1	0
GLRX2	1304	67	90	82
CDC73	4986	538	655	698
LINC01031	783	7	2	2
KCNT2	6980	541	752	959
CFHR2	1209	0	0	0
CFHR4	2925	0	2	0
CRB1	11824	145	146	236
DENND1B	2751	99	166	168
PTPRC	7342	2	2	24
NR5A2	5472	1	1	17
KIF14	7304	29	39	114
CAMSAP2	7403	957	1378	1363
CACNA1S	6210	6	3	6
IGFN1	11853	1	3	7
CSRP1	3365	201	294	644
NAV1	17607	141	128	270
IPO9-AS1	1280	6	8	10
IPO9	11571	1342	1554	1739
ELF3	6480	1267	1176	1059
RP11-510N19.5	989	49	33	33
ARL8A	1979	252	295	278
LGR6	3915	0	3	0
SYT2	7784	28	38	37
KDM5B	7648	2654	3457	3382
PPFIA4	7655	54	82	265
ATP2B4	9351	1702	2158	2903
ZC3H11A	8523	2938	3889	4209
SOX13	6234	397	404	448
PLEKHA6	7626	1332	1269	1298
LRRN2	5685	43	34	68
NFASC	12140	18	10	41
DSTYK	7921	586	746	785
LEMD1	1032	7	7	14
RASSF5	5673	68	142	129
DYRK3	4176	44	72	115
FAIM3	1958	1	1	0
YOD1	6525	649	818	758
PFKFB2	9560	507	691	932
RP11-164O23.7	949	0	0	0
CR1	9312	4	0	4
RP11-78B10.2	1281	0	0	0
CR1L	2366	1	0	0
PLXNA2	12737	331	350	674
RP11-385M4.1	476	0	0	0
RP1-28O10.1	481	0	0	3
IRF6	4391	624	856	825
SYT14	5407	12	7	18
KCNH1	3219	6	6	11
LPGAT1	8672	2197	2220	2132
INTS7	4474	269	382	322
PPP2R5A	3549	660	811	759
RPS6KC1	5901	381	554	508
PROX1-AS1	8999	8	6	7
PROX1	8497	69	57	129
PTPN14	18516	783	809	1260
CENPF	11263	151	231	771
KCNK2	3600	3	2	22
KCTD3	4671	748	854	912
GPATCH2	8476	665	941	839
SPATA17	5973	146	295	234
RRP15	7888	309	528	401
RP11-135J2.4	728	11	8	6
RAB3GAP2	9060	1303	1713	1558
MARK1	5390	139	200	108
MARC1	3350	107	122	65
DUSP10	3299	20	32	31
MIA3	8923	1049	1544	1382
DISP1	5344	521	686	491
SUSD4	4155	186	136	197
CAPN8	3820	14	10	9
TP53BP2	5104	973	1191	1295
CNIH3	3535	49	69	62
ENAH	14017	1592	2049	1713
SRP9	1717	3142	4285	3182
